created_at,favorite_count,full_text
Fri May 03 13:13:50 +0000 2024,12,"$SPX 

Today’s theme.

50dma.

All about that 50dma…"
Fri May 03 13:08:42 +0000 2024,28,"$DKNG 40 to 45+.

🎯"
Fri May 03 12:56:42 +0000 2024,138,"Today when you go to the meat section in your local grocery and the butcher asks you what cut of beef do you want…

The Sirloin cut? Brisket cut? Flank cut? Chuck cut? Round cut?

You tell them with the straightest face you can muster and say…

The RATE CUT.

Rate my joke."
Fri May 03 12:52:45 +0000 2024,107,"Who will be the DARING SOULS to fade a little of this huuuuuge gap up for some intraday gap attempt fill?

Raise your mf’in hands.

🙋🏻‍♂️🙋‍♀️🙋🏽"
Fri May 03 12:47:07 +0000 2024,57,$VIX Crush Fridays ™️ is so back.
Fri May 03 12:38:48 +0000 2024,155,"Stocks like it when you stay unemployed.

‘Murica."
Fri May 03 00:50:11 +0000 2024,838,"$SPY 🚨 Pattern detected 🚨

Apr 18: red
Apr 19: red
Apr 22: green
Apr 23: green
Apr 24: red
Apr 25: red
Apr 26: green
Apr 29: green
Apr 30: red
May 1: red
May 2: green
May 3: ?

I spent over 3 years mastering this pattern system I patented.

Tomorrow will be green. 

Mark it."
Thu May 02 23:20:39 +0000 2024,48,Do we trust this massive $SNAP bounce?
Thu May 02 21:49:03 +0000 2024,100,"$AAPL Be mindful of the 187.15 gap fill above.

Can get a cheapy 3points if you buy shares here in after hrs and tomorrow's NFP comes in decent.

Friday Vix Crush Fridays VCF ™️ also potentially in play.

Worth a shot."
Thu May 02 21:40:17 +0000 2024,48,"$XBI +10% in two weeks.

Take it."
Thu May 02 21:12:55 +0000 2024,629,"The only Mag 7 stock that did not get an earnings pop was $META.

5 out of 6 had strong pops. Good odds.

You know what that means.

Full port 3x margin levered all in 2nd and 3rd mortgage your house sell your dog sell your kidney $NVDA.

May 22nd.

80% sure."
Thu May 02 21:08:44 +0000 2024,0,"RT @Mr_Derivatives: $AAPL The last two times stock got to $169.69 it bounced back all the way to $178’s.

Today it is at $169.69 for the th…"
Thu May 02 21:06:17 +0000 2024,48,$DKNG Almost 45!
Thu May 02 20:53:58 +0000 2024,324,"Meanwhile $PYPL is still $66.

I’m done."
Thu May 02 20:47:47 +0000 2024,377,"Anyone had $AAPL calls?

My goodness."
Thu May 02 20:35:31 +0000 2024,379,$AAPL says recession cancelled.
Thu May 02 20:28:45 +0000 2024,48,When two of your favorite followers are beefing and you don’t know what to do…. https://t.co/Hpi8vyJW2x
Thu May 02 16:55:11 +0000 2024,209,"$SMCI $NVDA

Just split the damn stocks already.

If Chipotle can do a 50-1, you both can do a 10-1.

Get it done Daddy Jensen and Uncle Charles.

🇹🇼"
Thu May 02 16:27:20 +0000 2024,98,"Dino u been fucking my $BABA calls since $69.69.

Now it be $80+.

Friendly banter. Or not. 😈"
Thu May 02 15:25:18 +0000 2024,76,$BABA boom
